date	duration	item	month	network	network_type
12/11/2014 17:14	1	sms	2014-11	Vodafone	mobile
12/11/2014 17:14	1	sms	2014-11	Vodafone	mobile
12/11/2014 17:49	1	sms	2014-11	Three	mobile
12/11/2014 17:56	145	call	2014-11	Three	mobile
12/11/2014 17:59	1001	call	2014-11	Three	mobile
12/11/2014 19:01	7	call	2014-11	Vodafone	mobile
12/11/2014 19:18	1	sms	2014-11	Three	mobile
12/11/2014 19:18	1	sms	2014-11	Three	mobile
12/11/2014 19:20	1	sms	2014-11	Vodafone	mobile
13/11/14 06:58	34.429	data	2014-12	data	data
13/11/14 22:30	1	sms	2014-11	Three	mobile
13/11/14 22:31	1	sms	2014-11	Vodafone	mobile
14/11/14 06:58	34.429	data	2014-12	data	data
14/11/14 17:24	124	call	2014-12	voicemail	voicemail
14/11/14 17:28	1	sms	2014-12	Vodafone	mobile
15/11/14 06:58	34.429	data	2014-12	data	data
16/11/14 06:58	34.429	data	2014-12	data	data
16/11/14 14:05	4	call	2014-12	Vodafone	mobile
17/11/14 06:58	34.429	data	2014-12	data	data
18/11/14 06:58	34.429	data	2014-12	data	data
18/11/14 08:22	1	sms	2014-12	Vodafone	mobile
18/11/14 08:29	1	sms	2014-12	Vodafone	mobile
18/11/14 08:29	1	sms	2014-12	Vodafone	mobile
18/11/14 08:33	1	sms	2014-12	Vodafone	mobile
18/11/14 08:34	1	sms	2014-12	Vodafone	mobile
18/11/14 08:34	1	sms	2014-12	Vodafone	mobile
18/11/14 08:39	1	sms	2014-12	Vodafone	mobile
18/11/14 08:42	1	sms	2014-12	Vodafone	mobile
18/11/14 08:45	1	sms	2014-12	Vodafone	mobile
18/11/14 09:35	1	sms	2014-12	Vodafone	mobile
19/11/14 06:58	34.429	data	2014-12	data	data
19/11/14 14:05	128	call	2014-12	Tesco	mobile
19/11/14 14:11	249	call	2014-12	Meteor	mobile
19/11/14 18:56	2120	call	2014-12	Three	mobile
19/11/14 22:48	1	sms	2014-12	Vodafone	mobile
20/11/14 06:58	34.429	data	2014-12	data	data
20/11/14 14:57	71	call	2014-12	voicemail	voicemail
20/11/14 14:59	56	call	2014-12	Three	mobile
20/11/14 16:22	1	sms	2014-12	Meteor	mobile
20/11/14 19:08	9	call	2014-12	Three	mobile
20/11/14 21:03	3	call	2014-12	Three	mobile
20/11/14 21:03	3	call	2014-12	Three	mobile
21/11/14 00:17	17	call	2014-12	Tesco	mobile
21/11/14 01:13	1	sms	2014-12	Vodafone	mobile
21/11/14 06:58	34.429	data	2014-12	data	data
21/11/14 10:29	1	sms	2014-12	Meteor	mobile
21/11/14 10:29	1	sms	2014-12	Meteor	mobile
21/11/14 10:30	1	sms	2014-12	Meteor	mobile
21/11/14 11:29	8	call	2014-12	landline	landline
21/11/14 11:31	982	call	2014-12	Vodafone	mobile
21/11/14 11:49	11	call	2014-12	landline	landline
21/11/14 11:50	34	call	2014-12	Three	mobile
21/11/14 11:50	8	call	2014-12	Three	mobile
21/11/14 13:31	600	call	2014-12	Tesco	mobile
21/11/14 18:07	244	call	2014-12	Meteor	mobile
22/11/14 02:10	186	call	2014-12	Tesco	mobile
22/11/14 06:58	34.429	data	2014-12	data	data
22/11/14 12:02	75	call	2014-12	Meteor	mobile
22/11/14 12:10	90	call	2014-12	Vodafone	mobile
22/11/14 14:30	13	call	2014-12	Vodafone	mobile
22/11/14 14:33	20	call	2014-12	Vodafone	mobile
22/11/14 14:34	2	call	2014-12	Vodafone	mobile
23/11/14 06:58	34.429	data	2014-12	data	data
23/11/14 13:24	208	call	2014-12	Three	mobile
23/11/14 16:10	107	call	2014-12	Three	mobile
23/11/14 17:36	55	call	2014-12	Three	mobile
23/11/14 17:53	5	call	2014-12	Three	mobile
23/11/14 17:53	20	call	2014-12	Three	mobile
23/11/14 17:54	2	call	2014-12	Three	mobile
24/11/14 06:58	34.429	data	2014-12	data	data
24/11/14 09:40	1	sms	2014-12	Three	mobile
24/11/14 12:24	4	call	2014-12	Meteor	mobile
25/11/14 06:58	34.429	data	2014-12	data	data
